<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
2020.11.22,12:33:00,137100,137200,137100,137200,62
2020.11.22,12:34:00,137100,137200,137100,137200,3
2020.11.22,12:35:00,137200,137200,137000,137000,86
2020.11.22,12:36:00,137000,137200,137000,137200,11
2020.11.22,12:37:00,137200,137200,137100,137200,34
2020.11.22,12:38:00,137300,138000,137300,138000,205
2020.11.22,12:39:00,137900,137900,137500,137700,75
2020.11.22,12:40:00,137600,137700,137400,137400,373
2020.11.22,12:41:00,137400,137400,137000,137000,266
2020.11.22,12:42:00,137100,137300,137100,137200,71
2020.11.22,12:43:00,137200,137200,137200,137200,10
2020.11.22,12:44:00,137300,137300,137300,137300,35
2020.11.22,12:45:00,137300,137500,137300,137500,82
2020.11.22,12:46:00,137500,137500,137400,137500,91
2020.11.22,12:47:00,137600,137600,137500,137500,95
2020.11.22,12:48:00,137500,137600,137500,137600,46
2020.11.22,12:49:00,137600,137600,137500,137500,75
2020.11.22,12:50:00,137500,137500,137400,137400,221
2020.11.22,12:51:00,137400,137400,137300,137300,35
2020.11.22,12:52:00,137400,137400,137400,137400,30
2020.11.22,12:53:00,137400,137500,137400,137500,11
2020.11.22,12:54:00,137500,137500,137300,137400,20
2020.11.22,12:55:00,137400,137400,137400,137400,21
2020.11.22,12:56:00,137400,137400,137400,137400,5
2020.11.22,12:57:00,137400,137400,137400,137400,5
2020.11.22,12:58:00,137300,137400,137300,137400,124
2020.11.22,12:59:00,137400,137400,137400,137400,11
2020.11.22,13:00:00,137400,137500,137400,137500,49
2020.11.22,13:01:00,137600,137600,137600,137600,23
2020.11.22,13:02:00,137700,137700,137500,137700,55
2020.11.22,13:03:00,137700,137800,137700,137800,30
2020.11.22,13:04:00,137700,137800,137700,137800,25
2020.11.22,13:05:00,137800,137800,137700,137700,43
2020.11.22,13:06:00,137700,137700,137500,137600,26
2020.11.22,13:07:00,137600,137600,137600,137600,25
2020.11.22,13:08:00,137600,137600,137600,137600,6
2020.11.22,13:09:00,137600,137600,137300,137300,83
2020.11.22,13:10:00,137300,137300,137100,137200,51
2020.11.22,13:11:00,137200,137300,136800,136800,107
2020.11.22,13:12:00,137000,137000,136800,136900,80
2020.11.22,13:13:00,136900,137000,136900,137000,138
2020.11.22,13:14:00,137000,137000,136900,137000,156
2020.11.22,13:15:00,137000,137200,137000,137200,69
2020.11.22,13:16:00,137000,137300,137000,137300,25
2020.11.22,13:17:00,137200,137200,136800,137000,228
2020.11.22,13:18:00,137000,137000,136900,136900,66
2020.11.22,13:19:00,137000,137000,136900,136900,34
2020.11.22,13:20:00,136800,136800,136700,136800,93
2020.11.22,13:21:00,136700,136800,136700,136700,126
2020.11.22,13:22:00,136700,136700,136300,136400,256
2020.11.22,13:23:00,136400,136600,136400,136600,47
2020.11.22,13:24:00,136500,136500,136500,136500,36
2020.11.22,13:25:00,136500,136600,136400,136500,86
2020.11.22,13:26:00,136500,136700,136500,136600,51
2020.11.22,13:27:00,136700,136700,136700,136700,16
2020.11.22,13:28:00,136600,136700,136600,136700,15
2020.11.22,13:29:00,136600,136700,136400,136400,228
2020.11.22,13:30:00,136400,136400,136000,136100,469
2020.11.22,13:31:00,136000,136100,135100,135200,871
2020.11.22,13:32:00,135200,135300,134600,134900,751
2020.11.22,13:33:00,134900,135300,134800,135200,345
2020.11.22,13:34:00,135200,135300,135000,135000,316
2020.11.22,13:35:00,135000,135200,135000,135100,49
2020.11.22,13:36:00,135100,135200,135100,135200,179
2020.11.22,13:37:00,135100,135300,135100,135300,95
2020.11.22,13:38:00,135400,135400,134700,134700,372
2020.11.22,13:39:00,134800,134800,134600,134800,85
2020.11.22,13:40:00,134800,135000,134600,134700,132
2020.11.22,13:41:00,134800,134900,134700,134700,1038
2020.11.22,13:42:00,135000,135100,134800,135000,71
2020.11.22,13:43:00,135000,135100,134900,135100,111
2020.11.22,13:44:00,135000,135200,135000,135200,77
2020.11.22,13:45:00,135200,135400,135200,135300,162
2020.11.22,13:46:00,135300,135400,135000,135300,142
2020.11.22,13:47:00,135300,135300,135000,135300,102
2020.11.22,13:48:00,135300,135600,135300,135600,170
2020.11.22,13:49:00,135500,135500,135400,135400,33
2020.11.22,13:50:00,135400,135500,135300,135500,40
2020.11.22,13:51:00,135500,135600,135500,135600,48
2020.11.22,13:52:00,135600,135800,135500,135500,86
2020.11.22,13:53:00,135400,135400,135200,135200,34
2020.11.22,13:54:00,135200,135300,135100,135100,27
2020.11.22,13:55:00,135200,135300,135100,135300,50
2020.11.22,13:56:00,135300,135300,135300,135300,15
2020.11.22,13:57:00,135200,135200,135000,135000,48
2020.11.22,13:58:00,135100,135200,135000,135200,18
2020.11.22,13:59:00,135300,135300,135100,135300,45
2020.11.22,14:00:00,135300,135300,135300,135300,16
2020.11.22,14:01:00,135200,135200,135100,135100,33
2020.11.22,14:02:00,135200,135200,134800,135000,213
2020.11.22,14:03:00,134900,134900,134800,134900,111
2020.11.22,14:04:00,135000,135000,134900,135000,70
2020.11.22,14:05:00,134900,135000,134900,134900,96
2020.11.22,14:06:00,134900,135200,134900,135200,65
2020.11.22,14:07:00,135100,135200,135000,135000,16
2020.11.22,14:08:00,135100,135100,135100,135100,10
2020.11.22,14:09:00,135300,135300,135300,135300,5
2020.11.22,14:10:00,135300,135400,135300,135400,16
2020.11.22,14:11:00,135400,135400,135400,135400,1
2020.11.22,14:12:00,135400,135400,135400,135400,15
2020.11.22,14:13:00,135400,135400,135400,135400,11
2020.11.22,14:14:00,135500,135500,135300,135400,5
2020.11.22,14:15:00,135200,135300,135200,135300,15
2020.11.22,14:16:00,135200,135200,135200,135200,4
2020.11.22,14:17:00,135100,135200,135000,135000,103
2020.11.22,14:18:00,135000,135000,134900,134900,27
2020.11.22,14:19:00,134900,135000,134700,134700,358
2020.11.22,14:20:00,134700,134900,134600,134900,53
2020.11.22,14:21:00,134800,134900,134800,134900,36
