date,open,high,low,close,volume,open_interest,contract,undajusted_close
2004-12-23,80.40418761,80.43782015,80.29207915,80.34813338,224989,1517116,200503,111.984375
2004-12-27,80.38176592,80.38176592,79.8884887,80.011808,285683,1579308,200503,111.515625
2004-12-28,80.00059716,80.05665139,79.75395854,80.00059716,259470,1577747,200503,111.5
2004-12-29,79.97817546,80.04544054,79.78759108,79.83243447,188996,1605660,200503,111.265625
2004-12-30,79.81001277,80.16875985,79.77638024,80.12391646,241243,1610426,200503,111.671875
2004-12-31,80.14633815,80.35934423,80.10149477,80.31450084,165277,1595851,200503,111.9375
2005-01-03,80.31450084,80.35934423,80.04544054,80.26965746,496532,1634064,200503,111.875
2005-01-04,80.24723577,80.37055507,79.76516939,79.93333208,746500,1674498,200503,111.40625
2005-01-05,79.866067,80.06786223,79.79880193,79.93333208,602600,1693461,200503,111.40625
2005-01-06,79.89969954,80.05665139,79.84364531,79.98938631,520195,1650688,200503,111.484375
2005-01-07,80.03422969,80.76293469,79.44005486,79.91091039,907376,1688804,200503,111.375
2005-01-10,79.95575377,80.00059716,79.83243447,79.92212123,403367,1685099,200503,111.390625
2005-01-11,79.93333208,80.09028392,79.79880193,80.05665139,530028,1682328,200503,111.578125
2005-01-12,80.05665139,80.17997069,79.96696462,80.10149477,531171,1664964,200503,111.640625
2005-01-13,80.10149477,80.47145269,80.04544054,80.35934423,788709,1700299,200503,112
2005-01-14,80.449031,80.53871777,80.13512731,80.23602492,699221,1692327,200503,111.828125
2005-01-18,80.23602492,80.32571169,80.07907308,80.29207915,556411,1669772,200503,111.90625
2005-01-19,80.30329,80.449031,80.157549,80.30329,890672,1694915,200503,111.921875
2005-01-20,80.37055507,80.48266354,80.17997069,80.41539846,692226,1674326,200503,112.078125
2005-01-21,80.39297677,80.60598284,80.33692254,80.5723503,520764,1629933,200503,112.296875
2005-01-24,80.54992861,80.65082623,80.47145269,80.61719369,478417,1697377,200503,112.359375
2005-01-25,80.594772,80.61719369,80.21360323,80.32571169,898983,1640638,200503,111.953125
2005-01-26,80.31450084,80.41539846,80.17997069,80.26965746,623414,1631431,200503,111.875
2005-01-27,80.23602492,80.24723577,80.00059716,80.19118154,625642,1648632,200503,111.765625
2005-01-28,80.10149477,80.594772,80.09028392,80.53871777,845898,1689807,200503,112.25
2005-01-31,80.48266354,80.594772,80.38176592,80.54992861,565711,1682892,200503,112.265625
2005-02-01,80.54992861,80.66203707,80.47145269,80.56113946,682795,1748051,200503,112.28125
2005-02-02,80.51629607,80.62840453,80.42660931,80.53871777,530996,1740049,200503,112.25
2005-02-03,80.50508523,80.50508523,80.25844661,80.38176592,613885,1734959,200503,112.03125
2005-02-04,80.34813338,80.97594076,80.34813338,80.83019976,1105548,1801542,200503,112.65625
2005-02-07,80.77414553,80.97594076,80.72930215,80.90867568,451203,1814795,200503,112.765625
2005-02-08,80.88625399,81.06562753,80.78535638,80.95351907,757798,1805198,200503,112.828125
2005-02-09,80.99836245,81.35710952,80.85262145,81.34589868,1004809,1845273,200503,113.375
2005-02-10,81.30105529,81.34589868,80.89746484,80.95351907,854440,1837190,200503,112.828125
2005-02-11,80.90867568,81.0095733,80.70688046,80.78535638,696837,1820771,200503,112.59375
2005-02-14,80.80777807,80.93109738,80.70688046,80.87504315,500746,1849627,200503,112.71875
2005-02-15,80.8638323,80.89746484,80.7180913,80.76293469,519573,1863252,200503,112.5625
2005-02-16,80.75172384,80.89746484,80.38176592,80.43782015,921886,1935788,200503,112.109375
2005-02-17,80.449031,80.49387438,80.23602492,80.35934423,790331,1961710,200503,112
2005-02-18,80.37055507,80.40418761,79.93333208,79.98938631,1011481,1912339,200503,111.484375
2005-02-22,79.94454293,80.03422969,79.85485616,79.89969954,837800,2028336,200503,111.359375
2005-02-23,79.91091039,80.20239238,79.73153685,79.94454293,1095348,2046699,200503,111.421875
